month,borough,age,stop
2018-10-01,Aviation Policing,15 - 19,1
2018-10-01,Aviation Policing,20 - 24,7
2018-10-01,Aviation Policing,25 - 29,3
2018-10-01,Barking & Dagenham,15 - 19,66
2018-10-01,Barking & Dagenham,20 - 24,54
2018-10-01,Barking & Dagenham,25 - 29,30
2018-10-01,Barnet,15 - 19,47
2018-10-01,Barnet,20 - 24,30
2018-10-01,Barnet,25 - 29,18
2018-10-01,Bexley,15 - 19,69
2018-10-01,Bexley,20 - 24,33
2018-10-01,Bexley,25 - 29,25
2018-10-01,Brent,15 - 19,178
2018-10-01,Brent,20 - 24,240
2018-10-01,Brent,25 - 29,124
2018-10-01,Bromley,15 - 19,189
2018-10-01,Bromley,20 - 24,55
2018-10-01,Bromley,25 - 29,45
2018-10-01,Camden,15 - 19,96
2018-10-01,Camden,20 - 24,99
2018-10-01,Camden,25 - 29,65
2018-10-01,Croydon,15 - 19,209
2018-10-01,Croydon,20 - 24,157
2018-10-01,Croydon,25 - 29,75
2018-10-01,Ealing,15 - 19,131
2018-10-01,Ealing,20 - 24,120
2018-10-01,Ealing,25 - 29,57
2018-10-01,Enfield,15 - 19,82
2018-10-01,Enfield,20 - 24,83
2018-10-01,Enfield,25 - 29,28
2018-10-01,Greenwich,15 - 19,114
2018-10-01,Greenwich,20 - 24,71
2018-10-01,Greenwich,25 - 29,43
2018-10-01,Hackney,15 - 19,133
2018-10-01,Hackney,20 - 24,130
2018-10-01,Hackney,25 - 29,79
2018-10-01,Hammersmith & Fulham,15 - 19,56
2018-10-01,Hammersmith & Fulham,20 - 24,78
2018-10-01,Hammersmith & Fulham,25 - 29,40
2018-10-01,Haringey,15 - 19,103
2018-10-01,Haringey,20 - 24,105
2018-10-01,Haringey,25 - 29,72
2018-10-01,Harrow,15 - 19,46
2018-10-01,Harrow,20 - 24,58
2018-10-01,Harrow,25 - 29,47
2018-10-01,Havering,15 - 19,74
2018-10-01,Havering,20 - 24,31
2018-10-01,Havering,25 - 29,21
2018-10-01,Hillingdon,15 - 19,112
2018-10-01,Hillingdon,20 - 24,59
2018-10-01,Hillingdon,25 - 29,46
2018-10-01,Hounslow,15 - 19,131
2018-10-01,Hounslow,20 - 24,93
2018-10-01,Hounslow,25 - 29,60
2018-10-01,Islington,15 - 19,87
2018-10-01,Islington,20 - 24,84
2018-10-01,Islington,25 - 29,49
2018-10-01,Kensington & Chelsea,15 - 19,107
2018-10-01,Kensington & Chelsea,20 - 24,68
2018-10-01,Kensington & Chelsea,25 - 29,52
2018-10-01,Kingston upon Thames,15 - 19,56
2018-10-01,Kingston upon Thames,20 - 24,22
2018-10-01,Kingston upon Thames,25 - 29,17
2018-10-01,Lambeth,15 - 19,323
2018-10-01,Lambeth,20 - 24,261
2018-10-01,Lambeth,25 - 29,154
2018-10-01,Lewisham,15 - 19,121
2018-10-01,Lewisham,20 - 24,86
2018-10-01,Lewisham,25 - 29,58
2018-10-01,Merton,15 - 19,33
2018-10-01,Merton,20 - 24,41
2018-10-01,Merton,25 - 29,18
2018-10-01,Newham,15 - 19,237
2018-10-01,Newham,20 - 24,220
2018-10-01,Newham,25 - 29,122
2018-10-01,Redbridge,15 - 19,46
2018-10-01,Redbridge,20 - 24,44
2018-10-01,Redbridge,25 - 29,33
2018-10-01,Richmond upon Thames,15 - 19,33
2018-10-01,Richmond upon Thames,20 - 24,7
2018-10-01,Richmond upon Thames,25 - 29,12
2018-10-01,Southwark,15 - 19,263
2018-10-01,Southwark,20 - 24,129
2018-10-01,Southwark,25 - 29,81
2018-10-01,Sutton,15 - 19,34
2018-10-01,Sutton,20 - 24,18
2018-10-01,Sutton,25 - 29,15
2018-10-01,Tower Hamlets,15 - 19,228
2018-10-01,Tower Hamlets,20 - 24,283
2018-10-01,Tower Hamlets,25 - 29,144
2018-10-01,Waltham Forest,15 - 19,270
2018-10-01,Waltham Forest,20 - 24,163
2018-10-01,Waltham Forest,25 - 29,67
2018-10-01,Wandsworth,15 - 19,47
2018-10-01,Wandsworth,20 - 24,46
2018-10-01,Wandsworth,25 - 29,27
2018-10-01,Westminster,15 - 19,169
2018-10-01,Westminster,20 - 24,163
2018-10-01,Westminster,25 - 29,99
2018-11-01,Aviation Policing,15 - 19,3
2018-11-01,Aviation Policing,20 - 24,7
2018-11-01,Aviation Policing,25 - 29,3
2018-11-01,Barking & Dagenham,15 - 19,73
2018-11-01,Barking & Dagenham,20 - 24,68
2018-11-01,Barking & Dagenham,25 - 29,28
2018-11-01,Barnet,15 - 19,35
2018-11-01,Barnet,20 - 24,35
2018-11-01,Barnet,25 - 29,23
2018-11-01,Bexley,15 - 19,68
2018-11-01,Bexley,20 - 24,47
2018-11-01,Bexley,25 - 29,24
2018-11-01,Brent,15 - 19,209
2018-11-01,Brent,20 - 24,221
2018-11-01,Brent,25 - 29,128
2018-11-01,Bromley,15 - 19,142
2018-11-01,Bromley,20 - 24,83
2018-11-01,Bromley,25 - 29,57
2018-11-01,Camden,15 - 19,199
2018-11-01,Camden,20 - 24,174
2018-11-01,Camden,25 - 29,99
2018-11-01,Croydon,15 - 19,158
2018-11-01,Croydon,20 - 24,131
2018-11-01,Croydon,25 - 29,72
2018-11-01,Ealing,15 - 19,115
2018-11-01,Ealing,20 - 24,140
2018-11-01,Ealing,25 - 29,101
2018-11-01,Enfield,15 - 19,144
2018-11-01,Enfield,20 - 24,111
2018-11-01,Enfield,25 - 29,68
2018-11-01,Greenwich,15 - 19,98
2018-11-01,Greenwich,20 - 24,72
2018-11-01,Greenwich,25 - 29,26
2018-11-01,Hackney,15 - 19,135
2018-11-01,Hackney,20 - 24,145
2018-11-01,Hackney,25 - 29,111
2018-11-01,Hammersmith & Fulham,15 - 19,116
2018-11-01,Hammersmith & Fulham,20 - 24,93
2018-11-01,Hammersmith & Fulham,25 - 29,37
2018-11-01,Haringey,15 - 19,212
2018-11-01,Haringey,20 - 24,148
2018-11-01,Haringey,25 - 29,92
2018-11-01,Harrow,15 - 19,45
2018-11-01,Harrow,20 - 24,62
2018-11-01,Harrow,25 - 29,26
2018-11-01,Havering,15 - 19,75
2018-11-01,Havering,20 - 24,37
2018-11-01,Havering,25 - 29,16
2018-11-01,Hillingdon,15 - 19,106
2018-11-01,Hillingdon,20 - 24,131
2018-11-01,Hillingdon,25 - 29,65
2018-11-01,Hounslow,15 - 19,134
2018-11-01,Hounslow,20 - 24,146
2018-11-01,Hounslow,25 - 29,88
2018-11-01,Islington,15 - 19,134
2018-11-01,Islington,20 - 24,79
2018-11-01,Islington,25 - 29,66
2018-11-01,Kensington & Chelsea,15 - 19,77
2018-11-01,Kensington & Chelsea,20 - 24,75
2018-11-01,Kensington & Chelsea,25 - 29,56
2018-11-01,Kingston upon Thames,15 - 19,21
2018-11-01,Kingston upon Thames,20 - 24,24
2018-11-01,Kingston upon Thames,25 - 29,8
2018-11-01,Lambeth,15 - 19,420
2018-11-01,Lambeth,20 - 24,349
2018-11-01,Lambeth,25 - 29,213
2018-11-01,Lewisham,15 - 19,189
2018-11-01,Lewisham,20 - 24,115
2018-11-01,Lewisham,25 - 29,72
2018-11-01,Merton,15 - 19,52
2018-11-01,Merton,20 - 24,54
2018-11-01,Merton,25 - 29,17
2018-11-01,Newham,15 - 19,215
2018-11-01,Newham,20 - 24,211
2018-11-01,Newham,25 - 29,144
2018-11-01,Redbridge,15 - 19,80
2018-11-01,Redbridge,20 - 24,42
2018-11-01,Redbridge,25 - 29,31
2018-11-01,Richmond upon Thames,15 - 19,34
2018-11-01,Richmond upon Thames,20 - 24,12
2018-11-01,Richmond upon Thames,25 - 29,13
2018-11-01,Southwark,15 - 19,279
2018-11-01,Southwark,20 - 24,210
2018-11-01,Southwark,25 - 29,109
2018-11-01,Sutton,15 - 19,29
2018-11-01,Sutton,20 - 24,20
2018-11-01,Sutton,25 - 29,16
2018-11-01,Tower Hamlets,15 - 19,294
2018-11-01,Tower Hamlets,20 - 24,405
2018-11-01,Tower Hamlets,25 - 29,221
2018-11-01,Waltham Forest,15 - 19,252
2018-11-01,Waltham Forest,20 - 24,163
2018-11-01,Waltham Forest,25 - 29,79
2018-11-01,Wandsworth,15 - 19,66
2018-11-01,Wandsworth,20 - 24,64
2018-11-01,Wandsworth,25 - 29,47
2018-11-01,Westminster,15 - 19,218
2018-11-01,Westminster,20 - 24,243
2018-11-01,Westminster,25 - 29,168
2018-12-01,Aviation Policing,15 - 19,2
2018-12-01,Aviation Policing,20 - 24,3
2018-12-01,Aviation Policing,25 - 29,1
2018-12-01,Barking & Dagenham,15 - 19,48
2018-12-01,Barking & Dagenham,20 - 24,58
2018-12-01,Barking & Dagenham,25 - 29,28
2018-12-01,Barnet,15 - 19,55
2018-12-01,Barnet,20 - 24,85
2018-12-01,Barnet,25 - 29,41
2018-12-01,Bexley,15 - 19,91
2018-12-01,Bexley,20 - 24,52
2018-12-01,Bexley,25 - 29,26
2018-12-01,Brent,15 - 19,145
2018-12-01,Brent,20 - 24,150
2018-12-01,Brent,25 - 29,81
2018-12-01,Bromley,15 - 19,205
2018-12-01,Bromley,20 - 24,127
2018-12-01,Bromley,25 - 29,88
2018-12-01,Camden,15 - 19,192
2018-12-01,Camden,20 - 24,168
2018-12-01,Camden,25 - 29,142
2018-12-01,Croydon,15 - 19,226
2018-12-01,Croydon,20 - 24,146
2018-12-01,Croydon,25 - 29,88
2018-12-01,Ealing,15 - 19,128
2018-12-01,Ealing,20 - 24,130
2018-12-01,Ealing,25 - 29,87
2018-12-01,Enfield,15 - 19,93
2018-12-01,Enfield,20 - 24,99
2018-12-01,Enfield,25 - 29,63
2018-12-01,Greenwich,15 - 19,130
2018-12-01,Greenwich,20 - 24,77
2018-12-01,Greenwich,25 - 29,50
2018-12-01,Hackney,15 - 19,133
2018-12-01,Hackney,20 - 24,196
2018-12-01,Hackney,25 - 29,141
2018-12-01,Hammersmith & Fulham,15 - 19,99
2018-12-01,Hammersmith & Fulham,20 - 24,64
2018-12-01,Hammersmith & Fulham,25 - 29,52
2018-12-01,Haringey,15 - 19,134
2018-12-01,Haringey,20 - 24,174
2018-12-01,Haringey,25 - 29,84
2018-12-01,Harrow,15 - 19,59
2018-12-01,Harrow,20 - 24,48
2018-12-01,Harrow,25 - 29,30
2018-12-01,Havering,15 - 19,55
2018-12-01,Havering,20 - 24,39
